1621558267.970325,s2-eth1,5881560.50,64685.32,5946246.00,64750,5887442,1071.93,980.02,2051.95,981,1073,0.00,0.00,0,0
1621558267.970357,s1-eth1,5869926.00,64751.25,5934677.50,64816,5875796,1070.93,981.02,2051.95,982,1072,0.00,0.00,0,0
1621558267.970388,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558267.970412,s2-eth2,64816.00,5881514.00,5946330.00,5881514,64816,982.00,1071.00,2053.00,1071,982,0.00,0.00,0,0
1621558267.970452,s1-eth2,64750.00,5887442.00,5952192.00,5887442,64750,981.00,1073.00,2054.00,1073,981,0.00,0.00,0,0
1621558267.970478,total,17835476.00,17852840.00,35688316.00,17852840,17835476,6181.00,6181.00,12362.00,6181,6181,0.00,0.00,0,0
1621558268.970988,lo,1014.00,1014.00,2028.00,1014,1014,9.00,9.00,18.00,9,9,0.00,0.00,0,0
1621558268.971037,s3-eth1,5875656.00,64548.00,5940204.00,64548,5875656,1070.00,978.00,2048.00,978,1070,0.00,0.00,0,0
1621558268.971133,s3-eth2,64548.00,5858082.00,5922630.00,5858082,64548,978.00,1067.00,2045.00,1067,978,0.00,0.00,0,0
1621558268.971210,s2-eth1,5875656.00,64614.00,5940270.00,64614,5875656,1070.00,979.00,2049.00,979,1070,0.00,0.00,0,0
1621558268.971245,s1-eth1,5875656.00,64548.00,5940204.00,64548,5875656,1070.00,978.00,2048.00,978,1070,0.00,0.00,0,0
1621558268.971279,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558268.971313,s2-eth2,64614.00,5875656.00,5940270.00,5875656,64614,979.00,1070.00,2049.00,1070,979,0.00,0.00,0,0
1621558268.971344,s1-eth2,64680.00,5875656.00,5940336.00,5875656,64680,980.00,1070.00,2050.00,1070,980,0.00,0.00,0,0
1621558268.971370,total,17821824.00,17804118.00,35625944.00,17804118,17821824,6156.00,6151.00,12307.00,6151,6156,0.00,0.00,0,0
1621558269.971606,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558269.971658,s3-eth1,5834580.00,64218.00,5898798.00,64218,5834580,1062.00,973.00,2035.00,973,1062,0.00,0.00,0,0
1621558269.971707,s3-eth2,64222.00,5834580.00,5898802.00,5834580,64222,973.00,1062.00,2035.00,1062,973,0.00,0.00,0,0
1621558269.971783,s2-eth1,5828722.00,64218.00,5892940.00,64218,5828722,1061.00,973.00,2034.00,973,1061,0.00,0.00,0,0
1621558269.971817,s1-eth1,5828722.00,64218.00,5892940.00,64218,5828722,1061.00,973.00,2034.00,973,1061,0.00,0.00,0,0
1621558269.971851,eth0,153.00,153.00,306.00,153,153,2.00,2.00,4.00,2,2,0.00,0.00,0,0
1621558269.971881,s2-eth2,64152.00,5828722.00,5892874.00,5828722,64152,972.00,1061.00,2033.00,1061,972,0.00,0.00,0,0
1621558269.971935,s1-eth2,64152.00,5828722.00,5892874.00,5828722,64152,972.00,1061.00,2033.00,1061,972,0.00,0.00,0,0
1621558269.971969,total,17684704.00,17684832.00,35369536.00,17684831,17684703,6103.00,6105.00,12208.00,6105,6103,0.00,0.00,0,0
1621558270.972492,lo,3348.00,3348.00,6696.00,3348,3348,18.00,18.00,36.00,18,18,0.00,0.00,0,0
1621558270.972545,s3-eth1,5893340.00,65238.00,5958578.00,65238,5893340,1073.00,985.00,2058.00,985,1073,0.00,0.00,0,0
1621558270.972590,s3-eth2,65370.00,5893160.00,5958530.00,5893160,65370,987.00,1072.00,2059.00,1072,987,0.00,0.00,0,0
1621558270.972658,s2-eth1,5893520.00,65124.00,5958644.00,65124,5893520,1074.00,985.00,2059.00,985,1074,0.00,0.00,0,0
